Project,Old Models,Old Models Count,Contributors,UML_Files,UML_Files_Count,Lines_of_Code,UML_LOC_Ratio
0003088/libelektra-qt-gui-test/,['doc/images/overview_plugins.xmi'],1,12.0,"['doc/images/classes.png', 'doc/images/classes_large.png', 'doc/images/state.png']",3,4679395,6.411085193705596e-07
01org/vmf/,['docs/design/LLD.uml'],1,11.0,['docs/design/LLD.uml'],1,1383431,7.228405319817179e-07
080419android/scheduler/,['Requirements/080419A - ClassDiagram_v_1_0_0.png'],1,3.0,['Requirements/080419A - ClassDiagram_v_1_0_0.png'],1,232249,4.3057235983793255e-06
0877624/0877624-0896919-0894785/,['UML Diagram/ModelDefinition/UML Diagram.uml'],1,3.0,"['DesPat/Content/Life-0.png', 'DesPat/Content/Life-1.png', 'DesPat/Content/Life-2.png', 'DesPat/Content/Life-3.png', 'UML Diagram/ModelDefinition/UML Diagram.uml']",5,66305,7.540909433677702e-05
09421/Track-A-Bus/,"['1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/Use_Case_Diagram.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.1 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.2 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Use_Case_Diagram.jpg', '2 - Kravspec/2 - Samlet kravspec/Use_Cases/Diagrammer/Use_Case_Diagram.jpg', '4 - Rapport/4 semester/Billeder/Use_Case_Diagram.jpg', '4 - Rapport/Billeder/Use_Case_Diagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Administrator hjemmeside - klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Mobil applikation - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Simulator - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/5 - Use Case diagrammer/Use_Case_Diagram.jpg']",12,2.0,"['1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/AktOrkontekst-diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Database/MySQL_UML_Diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Database/SQLite_UML_Diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/App_klasseDia.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/App_klasseDia_models.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/Hjemmeside_KlasseDia.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/Simulator_klasseDia.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/Simulator_klasseDia.png', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/DeploymentDiagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/Use_Case_Diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/activity_lifecycle.png', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/SimuStartSSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC1SSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC2SSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC3SSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC4SSD.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/DeploymentDiagram.PNG', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/Sekvensdiagrammer_ProcesTaskView/System_HomingAndBrickSortAndCheckForHoming.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/Sekvensdiagrammer_ProcesTaskView/System_MsgQueue.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/Sekvensdiagrammer_ProcesTaskView/System_ResetRobot.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/UseCaseRealiseringer/UC1.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Database/UML_Database_diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/DeploymentDiagram.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Klassediagrammer/Database/DatabaseUML.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Klassediagrammer/Klassediagrammer/JPGFiler/Allpackages.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/5_3_2_Use_Case_1_1_Maal_og_vej_klods_realisering_1.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/5_3_3_Use_Case_1_2_Bestem_materialetype_realisering.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.1 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.2 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Use_Case_Diagram.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/dSSD/Simulering/Simulering-sekvens.jpg', '2 - Kravspec/2 - Samlet kravspec/Use_Cases/Diagrammer/Use_Case_Diagram.jpg', '4 - Rapport/4 semester/Billeder/Use_Case_Diagram.jpg', '4 - Rapport/Billeder/Use_Case_Diagram.jpg', '4 - Rapport/Ikke færdig/Billeder/Domainmodel_Billede.jpg', '7 - Bilag/2 - Diagrammer/1 - Database diagrammer/MySQL_UML_Diagram.jpg', '7 - Bilag/2 - Diagrammer/1 - Database diagrammer/SQLite_UML_Diagram.jpg', '7 - Bilag/2 - Diagrammer/2 - Domænemodeller/Endelig domænemodel.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Administrator hjemmeside - klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Mobil applikation - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Mobil applikation modeller - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Simulator - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC1SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC2SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC3SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC4SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/2 - Simulator/Simulerings start SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/3 - Tasks/ClientServerAsyncCall.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/3 - Tasks/MainTrackABusThreadCom.jpg', '7 - Bilag/2 - Diagrammer/5 - Use Case diagrammer/Use_Case_Diagram.jpg', '7 - Bilag/2 - Diagrammer/Deployment Diagram.jpg']",52,4210616,1.2349736950602952e-05
100Continue/Gulu--web-server-test-tools/,"['gulu3.6/doc/FileHandlerUML.jpg', 'gulu3.6/doc/ProcessHandlerUML.jpg', 'gulu3.6/doc/RequestUML.jpg', 'gulu3.6/doc/ResponseUML.jpg', 'gulu3.6/doc/assertUML.jpg', 'gulu3.6/doc/authorizationUML.jpg']",6,2.0,"['doc/FileHandlerUML.jpg', 'doc/ProcessHandlerUML.jpg', 'doc/RequestUML.jpg', 'doc/ResponseUML.jpg', 'doc/assertUML.jpg', 'doc/authorizationUML.jpg']",6,203441,2.9492580158375156e-05
101companies/101repo/,['contributions/jgralab/101companies-schema.xmi'],1,24.0,"['contributions/argoUML/composition.jpg', 'contributions/argoUML/generalization.jpg', 'contributions/seam/view/img/manytoone.gif', 'contributions/seam/view/img/onetomany.gif', 'contributions/sqliteSingle/doc/schema.svg']",5,11883348,4.207568439466723e-07
131213web/ProjectTask/,"['tasks/task04/activity_diagram1.png', 'tasks/task04/activity_diagram2.png', 'tasks/task04/activity_diagram3.png', 'tasks/task04/classDiagram.png', 'tasks/task04/state_diagram.png']",5,9.0,"['tasks/task04/activity_diagram1.png', 'tasks/task04/activity_diagram2.png', 'tasks/task04/activity_diagram3.png', 'tasks/task04/classDiagram.png', 'tasks/task04/state_diagram.png', 'tasks/task04/use_case.png']",6,157535,3.808677436760085e-05
1string2boolthem/ProjectHub/,"['Documentation/Project Diagrams/UML Class Diagrams/Android Diagram.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Servlet Diagram.jpg']",2,4.0,"['Documentation/Project Diagrams/Sequence Diagrams/Servlet/Create Project Servlet.jpg', 'Documentation/Project Diagrams/Sequence Diagrams/Servlet/Get Individuals Servlet.jpg', 'Documentation/Project Diagrams/Sequence Diagrams/Servlet/Get Resources Servlet.jpg', 'Documentation/Project Diagrams/Sequence Diagrams/Servlet/Get User Projects Servlet.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Android Diagram.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Common - Accounts and Projects.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/ProjectHubFramework.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Servlet Diagram.jpg']",8,84032,9.52018278750952e-05
211tbc/synthesis/,"['docs/UML/SequenceDiagram.png', 'docs/UML/UseCaseDiagram.png']",2,4.0,"['docs/UML/ClassDiagram.png', 'docs/UML/SequenceDiagram.png', 'docs/UML/UseCaseDiagram.png', 'docs/development_notes/threads_rework_diagram.png', 'docs/occ_synthesis.svg', 'docs/synthesis_overview_diagram.svg', 'docs/tbc_synthesis.svg']",7,1811839,3.863477935953471e-06
